ClipID,Boredom,Engagement,Confusion,Frustration 
1100062024.avi,2,2,0,0
1100062028.avi,2,2,1,0
1100062029.avi,1,2,1,0
1100062036.avi,3,2,0,0
1100062037.avi,2,2,0,0
1100062044.avi,2,2,0,0
1100062045.avi,2,1,1,0
1100062046.avi,2,2,0,0
1100062049.avi,2,1,2,0
1100062051.avi,3,2,0,0
1100062053.avi,0,3,0,0
1100062054.avi,2,2,0,1
1100062059.avi,1,2,0,1
1100062060.avi,2,2,0,0
1100062061.avi,0,2,0,0
1100062062.avi,1,2,0,0
1100062063.avi,2,2,0,0
1100062064.avi,2,2,0,0
1100062065.avi,0,2,0,0
1100062066.avi,3,3,0,0
1100062067.avi,0,3,0,0
1100062068.avi,2,2,1,0
1100062069.avi,1,2,0,0
1100062070.avi,2,2,0,0
1100062071.avi,1,3,1,1
1100062072.avi,2,3,1,2
1100071005.avi,2,2,0,0
1100071006.avi,2,2,0,0
1100071007.avi,2,2,0,0
1100071008.avi,2,3,0,0
1100071009.avi,2,2,0,0
1100071010.avi,2,2,0,0
1100071011.avi,2,2,0,0
1100071012.avi,0,3,0,0
1100071013.avi,0,2,0,0
1100071014.avi,0,3,0,0
1100071015.avi,2,2,2,2
1100071016.avi,1,3,0,0
1100071017.avi,1,2,0,1
1100071018.avi,0,2,0,0
1100071019.avi,1,2,0,0
1100071020.avi,2,2,0,0
1100071021.avi,2,3,0,0
1100071022.avi,2,2,0,0
1100071023.avi,2,2,0,0
1100071024.avi,2,2,0,0
1100071026.avi,2,2,0,1
1100071027.avi,2,2,0,0
1100071028.avi,2,2,0,0
1100071029.avi,2,2,0,0
1100071030.avi,0,3,0,0
1100071031.avi,3,3,0,1
1100071032.avi,2,2,1,0
1100071033.avi,2,2,0,0
1100071034.avi,1,3,1,0
1100071035.avi,1,2,0,0
1100071036.avi,0,2,0,0
1100071037.avi,2,2,0,0
1100071040.avi,2,3,0,0
1100071041.avi,2,2,0,0
1100071042.avi,2,2,1,0
1100071043.avi,2,3,2,1
1100071044.avi,2,2,1,0
1100071045.avi,2,2,0,0
1100071046.avi,2,2,0,0
1100071047.avi,2,2,0,0
1100071049.avi,0,2,0,0
1100071050.avi,2,3,0,0
1100071052.avi,2,2,0,0
1100071054.avi,0,2,0,0
1100071055.avi,1,3,1,1
1100071056.avi,1,2,1,1
1100071057.avi,2,3,0,0
1100071058.avi,2,2,0,0
1100071059.avi,1,2,1,1
1100071060.avi,0,2,1,0
1100071061.avi,2,3,0,0
1100071062.avi,2,2,0,0
1100071063.avi,0,3,0,0
1100071064.avi,0,3,0,0
1100071065.avi,2,2,0,0
1100071066.avi,2,2,0,0
1100071067.avi,0,3,1,0
1100071069.avi,0,2,1,0
1100071070.avi,0,3,0,0
1100071071.avi,2,2,0,0
1100071072.avi,2,2,0,0
1100071073.avi,0,2,0,0
1100071074.avi,2,2,0,0
1100071075.avi,2,2,0,0
1100071076.avi,2,2,0,0
1100071077.avi,0,3,1,0
1100071078.avi,1,3,0,0
1100071079.avi,0,3,0,0
1100071080.avi,0,3,0,0
1100071081.avi,0,3,0,0
1100072001.avi,2,2,0,0
1100072002.avi,0,3,0,0
1100072003.avi,0,3,0,0
1100072004.avi,2,2,0,0
1100072006.avi,0,2,0,0
1100072007.avi,0,2,0,0
1100072008.avi,2,2,0,0
1100072009.avi,1,3,0,0
1100072010.avi,2,2,0,0
1100072011.avi,2,3,0,0
1100072012.avi,0,3,0,0
1100072013.avi,0,2,0,0
1100072014.avi,0,2,0,0
1100072015.avi,2,2,0,1
1100072016.avi,2,2,0,0
1100072021.avi,2,2,0,0
1100072022.avi,0,2,0,0
1100072023.avi,0,3,0,0
1100072024.avi,0,2,0,0
1100072027.avi,1,2,0,0
1100072028.avi,2,2,0,0
1100072029.avi,0,2,0,0
1100072030.avi,2,2,0,0
1100072031.avi,2,2,0,0
1100072032.avi,2,3,0,0
1100072033.avi,1,3,0,0
1100072034.avi,2,2,0,0
1100072036.avi,2,2,0,0
1100072037.avi,2,2,0,0
1100072038.avi,1,2,1,1
1100072039.avi,1,2,1,1
1100072040.avi,1,2,0,0
1100072042.avi,0,2,0,0
1100072043.avi,2,3,1,0
1100072045.avi,2,2,0,0
1100072047.avi,2,3,0,0
1100072048.avi,2,2,0,0
1100072049.avi,1,2,0,0
1100072050.avi,2,2,0,0
1100072051.avi,0,3,0,0
1100072052.avi,2,3,0,0
1100072053.avi,0,2,0,0
1100072054.avi,0,2,0,0
1100072056.avi,2,2,1,1
1100072057.avi,2,2,0,0
1100072058.avi,1,3,0,0
1100072059.avi,2,2,0,0
1100072060.avi,2,2,0,0
1100072061.avi,2,2,0,0
1100072062.avi,2,2,0,0
1100072063.avi,0,3,0,0
1100072065.avi,1,2,1,1
1100072066.avi,0,3,1,0
1100072067.avi,2,2,0,0
1100072068.avi,1,2,0,0
1100072069.avi,1,2,0,0
1100072070.avi,2,2,0,0
1100072071.avi,1,2,1,1
1100072072.avi,1,2,0,0
1100072073.avi,2,2,0,0
1100072074.avi,2,3,0,0
1100072075.avi,3,2,0,0
1100072076.avi,2,2,0,0
1100072077.avi,0,3,0,0
1100072078.avi,2,3,0,0
1100072079.avi,0,2,0,1
1100072080.avi,2,2,0,0
1100072081.avi,1,2,0,0
1100072082.avi,2,3,0,0
1100072083.avi,1,2,0,0
1100072084.avi,0,2,0,0
1100072085.avi,2,2,0,0
1100081044.avi,0,2,2,1
1100081045.avi,0,2,0,0
1100081046.avi,1,2,0,1
1100081047.avi,0,3,0,0
1100081048.avi,0,3,1,1
1100082002.avi,0,3,0,0
1100082003.avi,0,3,0,0
1100082018.avi,1,2,1,1
1100082027.avi,0,2,0,1
1100102003.avi,2,2,0,3
1100111001.avi,1,3,0,0
1100111002.avi,0,3,0,0
1100111003.avi,0,2,2,0
1100111008.avi,1,2,0,0
1100111009.avi,0,2,0,0
1100111010.avi,0,3,0,0
1100111011.avi,0,2,0,0
1100111012.avi,1,2,0,0
1100111013.avi,1,2,1,1
1100111014.avi,2,2,0,2
1100111016.avi,0,2,0,0
1100111017.avi,0,2,0,0
1100111018.avi,2,2,0,0
1100111019.avi,1,2,0,0
1100111021.avi,0,2,0,0
1100111023.avi,1,3,0,0
1100111025.avi,0,3,0,0
1100111026.avi,0,2,0,0
1100111027.avi,1,3,1,1
1100111029.avi,2,2,1,0
1100111030.avi,0,3,0,0
1100111032.avi,1,2,0,0
1100112001.avi,1,2,0,0
1100112002.avi,2,1,0,0
1100112003.avi,0,3,0,0
1100112004.avi,0,3,0,0
1100112006.avi,0,1,0,0
1100112007.avi,1,3,0,0
1100112008.avi,0,3,0,0
1100112009.avi,0,3,0,0
1100112010.avi,1,2,0,0
1100112011.avi,1,2,2,0
1100112012.avi,0,3,0,0
1100112013.avi,0,2,0,0
1100112014.avi,1,2,0,0
1100112015.avi,0,3,0,0
1100112016.avi,0,3,0,0
1100112017.avi,1,3,0,0
1100112018.avi,0,3,0,0
1100112021.avi,0,2,1,1
1100112022.avi,1,2,0,0
1100112024.avi,0,3,0,0
1100112025.avi,0,2,0,0
1100112026.avi,2,2,0,0
1100112029.avi,0,3,0,0
1100112030.avi,0,3,0,0
1100112033.avi,1,3,0,0
1100112035.avi,0,2,0,0
1100112036.avi,1,3,0,0
1100112037.avi,0,3,0,0
1100112038.avi,2,2,0,0
1100112039.avi,0,3,0,0
1100112040.avi,1,2,0,0
1100112041.avi,0,2,0,0
1100112042.avi,0,3,0,0
1100112043.avi,1,2,0,0
1100112044.avi,0,2,0,0
1100112045.avi,2,2,1,1
1100112047.avi,2,3,0,0
1100112048.avi,0,2,0,0
1100112051.avi,0,3,0,0
1100112052.avi,0,3,0,0
1100112053.avi,0,3,0,0
1100112056.avi,1,2,0,0
1100112057.avi,0,3,0,0
1100112058.avi,0,2,0,0
1100112059.avi,0,3,0,0
1100112060.avi,1,3,0,0
1100112061.avi,0,2,0,0
1100112062.avi,1,2,1,0
1100112063.avi,1,2,1,0
1100112064.avi,1,3,0,0
1100112065.avi,1,2,1,0
1100112066.avi,0,3,0,0
1100112068.avi,1,3,0,0
1100121002.avi,1,3,0,0
1100121003.avi,0,2,0,0
1100121004.avi,1,3,0,0
1100121005.avi,0,3,0,0
1100121006.avi,0,3,0,0
1100121007.avi,0,3,0,0
1100121008.avi,1,3,0,0
1100121009.avi,1,3,0,0
1100121010.avi,0,3,0,0
1100121011.avi,1,3,0,0
1100121012.avi,0,3,0,0
1100121015.avi,2,2,0,0
1100121016.avi,1,3,2,0
1100121017.avi,0,3,0,0
1100121018.avi,1,2,0,2
1100121019.avi,0,2,1,0
1100121020.avi,2,3,0,0
1100121024.avi,2,2,0,0
1100121025.avi,2,2,2,2
1100121028.avi,0,3,0,0
1100121031.avi,2,2,0,0
1100121032.avi,0,3,0,0
1100121033.avi,0,2,1,0
1100121034.avi,2,2,0,0
1100121035.avi,0,3,0,0
1100121036.avi,0,2,0,0
1100121038.avi,0,3,0,1
1100121040.avi,0,3,0,0
1100121041.avi,1,2,1,0
1100121042.avi,0,2,0,0
1100121044.avi,0,3,0,0
1100121045.avi,0,3,0,0
1100121047.avi,0,3,0,0
1100121049.avi,0,2,0,0
1100121050.avi,2,3,1,0
1100121052.avi,0,2,1,0
1100121053.avi,0,3,0,0
1100121054.avi,0,3,0,0
1100121056.avi,1,2,0,0
1100121057.avi,0,3,0,0
1100121059.avi,0,2,1,0
1100121060.avi,1,2,0,0
1100121061.avi,1,2,0,1
1100121064.avi,0,3,0,0
1100122001.avi,0,2,0,0
1100122002.avi,1,2,0,0
1100122003.avi,0,2,0,0
1100122005.avi,0,2,0,0
1100122006.avi,1,3,0,0
1100122007.avi,0,3,0,0
1100122008.avi,1,3,1,1
1100122009.avi,0,2,0,0
1100122010.avi,1,3,0,0
1100122011.avi,0,3,0,0
1100122012.avi,0,3,0,0
1100122013.avi,0,3,0,1
1100122014.avi,2,3,0,0
1100122015.avi,0,2,0,0
1100122017.avi,1,2,0,0
1100122018.avi,0,3,0,0
1100122019.avi,0,3,0,0
1100122020.avi,1,3,0,0
1100122021.avi,2,2,0,0
1100122023.avi,1,2,0,0
1100122024.avi,0,3,1,1
1100122025.avi,0,2,0,0
1100122026.avi,0,2,0,0
1100122031.avi,1,3,0,0
1100122032.avi,0,3,0,0
1100122033.avi,0,2,0,0
1100122034.avi,0,3,0,0
1100122035.avi,1,2,1,0
1100122036.avi,0,3,0,0
1100122037.avi,0,3,0,0
1100122038.avi,0,3,0,0
1100122039.avi,0,3,0,0
1100122040.avi,0,2,0,0
1100122041.avi,1,2,0,0
1100122045.avi,2,2,0,0
1100122047.avi,0,2,0,1
1100122048.avi,0,3,1,0
1100122050.avi,1,3,0,0
1100122051.avi,0,2,0,0
1100122052.avi,0,3,0,0
1100122053.avi,1,2,0,0
1100122054.avi,1,2,0,0
1100122056.avi,2,1,0,1
1100131006.avi,0,3,0,0
1100131007.avi,0,2,0,0
1100131009.avi,0,3,0,0
1100131010.avi,0,3,0,0
1100131011.avi,1,3,0,0
1100131012.avi,0,3,0,0
1100131017.avi,2,0,0,0
1100131019.avi,0,3,0,0
1100141001.avi,0,3,0,0
1100141002.avi,2,2,2,2
1100141003.avi,0,3,0,0
1100141004.avi,1,3,0,0
1100141005.avi,0,2,0,0
1100141006.avi,1,2,1,0
1100141007.avi,0,3,0,0
1100141008.avi,1,2,0,0
1100141009.avi,1,2,0,0
1100141010.avi,0,3,0,0
1100141011.avi,2,2,0,1
1100141012.avi,2,2,2,0
1100141013.avi,2,1,0,1
1100141014.avi,1,2,1,1
1100141015.avi,2,2,0,0
1100141016.avi,0,3,0,0
1100141017.avi,1,2,1,0
1100141019.avi,3,2,0,1
1100141020.avi,2,2,2,1
1100141021.avi,2,2,2,0
1100141023.avi,0,3,0,0
1100141027.avi,1,1,0,1
1100141028.avi,1,2,0,2
1100141029.avi,2,2,0,0
1100141030.avi,1,2,1,2
1100141031.avi,0,2,2,0
1100141032.avi,1,2,0,1
1100141033.avi,0,2,2,1
1100141034.avi,3,2,0,1
1100141035.avi,1,2,0,2
1100141036.avi,2,2,1,0
1100141039.avi,1,3,2,0
1100141040.avi,2,2,0,1
1100141042.avi,2,2,0,1
1100141044.avi,1,2,0,0
1100141045.avi,0,3,1,2
1100141046.avi,2,2,0,0
1100141049.avi,2,2,1,0
1100141050.avi,2,2,2,1
1100141052.avi,2,2,0,0
1100141053.avi,2,2,1,0
1100141054.avi,0,3,0,0
1100141055.avi,0,3,0,0
1100141056.avi,0,2,1,2
1100141057.avi,2,2,1,1
1100142002.avi,1,3,0,0
1100142003.avi,2,2,1,1
1100142004.avi,2,2,0,1
1100142007.avi,2,2,0,0
1100142008.avi,0,2,0,0
1100142009.avi,1,2,0,1
1100142010.avi,2,2,0,0
1100142011.avi,1,3,2,1
1100142013.avi,3,2,0,0
1100142014.avi,2,2,0,0
1100142015.avi,1,2,0,0
1100142017.avi,1,2,0,0
1100142018.avi,2,2,1,1
1100142019.avi,1,2,0,1
1100142021.avi,2,3,1,0
1100142022.avi,2,2,0,1
1100142023.avi,1,2,1,2
1100142024.avi,0,2,1,0
1100142027.avi,1,3,0,0
1100142028.avi,2,2,2,0
1100142029.avi,0,3,0,0
1100142030.avi,0,2,0,0
1100142031.avi,0,2,0,0
1100142032.avi,0,3,0,0
1100142033.avi,1,1,0,0
1100142034.avi,0,3,0,0
1100142035.avi,0,3,0,0
1100142038.avi,0,2,0,0
1100142041.avi,0,3,0,0
1100142043.avi,2,2,1,0
1100142044.avi,2,2,0,0
1100142045.avi,0,2,0,0
1100142046.avi,0,3,0,0
1100142048.avi,1,3,0,0
1100142049.avi,1,2,0,0
1100142050.avi,2,2,0,0
1100142051.avi,2,2,1,0
1100142052.avi,2,2,2,0
1100142053.avi,0,3,0,0
1100142056.avi,0,3,0,0
1100142057.avi,0,3,0,0
1100142058.avi,0,2,0,0
1100142059.avi,1,2,0,1
1100142060.avi,1,2,1,1
1100151003.avi,1,2,0,0
1100151004.avi,2,3,0,0
1100151008.avi,1,3,1,1
1100151009.avi,1,2,0,1
1100151010.avi,2,2,0,0
1100151011.avi,1,1,1,2
1100151012.avi,0,2,0,2
1100151013.avi,2,2,0,0
1100151014.avi,0,3,0,0
1100151015.avi,0,2,0,0
1100151016.avi,2,2,1,2
1100151017.avi,2,2,0,0
1100151018.avi,1,2,2,0
1100151019.avi,1,2,0,0
1100151020.avi,2,2,0,2
1100151021.avi,0,3,0,0
1100151022.avi,1,3,1,0
1100151023.avi,1,2,2,1
1100151024.avi,1,2,0,1
1100151028.avi,1,2,1,1
1100151030.avi,2,2,0,0
1100151032.avi,0,3,0,0
1100151033.avi,0,2,0,0
1100151035.avi,0,3,2,0
1100151037.avi,2,3,0,0
1100151038.avi,0,2,0,0
1100151039.avi,0,2,0,0
1100151040.avi,1,3,0,0
1100151042.avi,2,3,0,0
1100151043.avi,0,2,1,1
1100151044.avi,2,2,0,0
1100151047.avi,2,2,0,0
1100151049.avi,0,3,0,0
1100151050.avi,2,2,1,0
1100151051.avi,0,2,2,0
1100151052.avi,2,3,0,0
1100151054.avi,1,3,0,0
1100151055.avi,1,2,0,0
1100151056.avi,0,3,0,0
1100151057.avi,1,1,0,0
1100151058.avi,1,2,0,0
1100151062.avi,0,2,0,0
1100152001.avi,2,2,0,0
1100152004.avi,0,3,0,0
1100152005.avi,1,2,0,0
1100152006.avi,0,2,0,0
1100152008.avi,2,2,0,0
1100152009.avi,0,2,0,0
1100152010.avi,1,1,0,0
1100152013.avi,0,3,0,0
1100152014.avi,1,2,2,1
1100152015.avi,0,2,0,0
1100152017.avi,1,1,0,1
1100152019.avi,2,3,0,0
1100152020.avi,0,3,0,0
1100152022.avi,1,2,2,1
1100152024.avi,2,2,0,0
1100152025.avi,0,2,0,0
1100152026.avi,2,2,0,0
1100152027.avi,1,3,0,0
1100152031.avi,2,1,0,0
1100152032.avi,1,2,0,0
1100152039.avi,1,3,0,2
1100152040.avi,1,2,0,0
1100152041.avi,1,2,1,1
1100152042.avi,0,2,0,0
1100152043.avi,2,2,0,1
1100152048.avi,0,2,0,0
1100152049.avi,1,2,1,0
1100152050.avi,1,2,1,1
1100152051.avi,2,2,3,1
1100152055.avi,0,1,0,0
1100152056.avi,0,2,0,0
1100152061.avi,2,2,0,1
1100152062.avi,2,2,0,0
1100152067.avi,2,2,0,0
1100152069.avi,0,2,0,0
1100152070.avi,2,0,3,0
1100161002.avi,0,2,1,0
1100161004.avi,0,3,0,0
1100161011.avi,1,3,0,0
1100161012.avi,0,3,1,0
1100161013.avi,1,2,0,0
1100161014.avi,1,2,0,0
1100161015.avi,0,3,0,0
1100161016.avi,2,2,0,0
1100161020.avi,0,3,0,0
1100161021.avi,0,3,0,0
1100161022.avi,2,2,0,0
1100161023.avi,2,2,1,1
1100161028.avi,2,2,0,0
1100161029.avi,2,2,0,0
1100161032.avi,2,2,2,2
1100161035.avi,0,2,0,0
1100161036.avi,2,2,0,0
1100161038.avi,2,2,3,2
1100161039.avi,0,3,0,0
1100161041.avi,1,3,0,0
1100161043.avi,1,3,1,0
